index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
31,League,Rishabh Pant,Delhi,DC,RR,Rajasthan Royals,field,Daredevils,4.0,runs,196.0,2018,"['32nd', 'match']"
32,League,Sunil Narine,Eden Gardens,CSK,KKR,Kolkata Knight Riders,field,KKR,6.0,wicket,177.0,2018,"['33rd', 'match']"
33,League,Suryakumar Yadav,Indore,KXIP,MI,Mumbai Indians,field,MI,6.0,wicket,174.0,2018,"['34th', 'match']"
34,League,Ravindra Jadeja,Pune,RCB,CSK,Chennai Super Kings,field,CSK,6.0,wicket,127.0,2018,"['35th', 'match']"
35,League,Rashid Khan,Hyderabad,DC,SRH,Delhi Daredevils,bat,SRH,7.0,wicket,163.0,2018,"['36th', 'match']"
36,League,Hardik Pandya,Wankhede,MI,KKR,Kolkata Knight Riders,field,MI,13.0,runs,181.0,2018,"['37th', 'match']"
37,League,Mujeeb Ur Rahman,Indore,RR,KXIP,Kings XI Punjab,field,Kings,6.0,wicket,152.0,2018,"['38th', 'match']"
38,League,Kane Williamson,Hyderabad,SRH,RCB,Royal Challengers Bangalore,field,SRH,5.0,runs,146.0,2018,"['39th', 'match']"
39,League,Jos Buttler,Jaipur,RR,KXIP,Rajasthan Royals,bat,RR,15.0,runs,158.0,2018,"['40th', 'match']"
40,League,Ishan Kishan,Eden Gardens,MI,KKR,Kolkata Knight Riders,field,MI,102.0,runs,210.0,2018,"['41st', 'match']"
41,League,Shikhar Dhawan,Delhi,DC,SRH,Delhi Daredevils,bat,SRH,9.0,wicket,187.0,2018,"['42nd', 'match']"
42,League,Jos Buttler,Jaipur,CSK,RR,Chennai Super Kings,bat,RR,4.0,wicket,176.0,2018,"['43rd', 'match']"
43,League,Sunil Narine,Indore,KKR,KXIP,Kings XI Punjab,field,KKR,31.0,runs,245.0,2018,"['44th', 'match']"
44,League,AB de Villiers,Delhi,DC,RCB,Royal Challengers Bangalore,field,RCB,5.0,wicket,181.0,2018,"['45th', 'match']"
45,League,Ambati Rayudu,Pune,SRH,CSK,Chennai Super Kings,field,CSK,8.0,wicket,179.0,2018,"['46th', 'match']"
46,League,Jos Buttler,Wankhede,MI,RR,Rajasthan Royals,field,RR,7.0,wicket,168.0,2018,"['47th', 'match']"
47,League,Umesh Yadav,Indore,KXIP,RCB,Royal Challengers Bangalore,field,RCB,10.0,wicket,88.0,2018,"['48th', 'match']"
48,League,Kuldeep Yadav,Eden Gardens,RR,KKR,Kolkata Knight Riders,field,KKR,6.0,wicket,142.0,2018,"['49th', 'match']"
49,League,Jasprit Bumrah,Wankhede,MI,KXIP,Kings XI Punjab,field,MI,3.0,runs,186.0,2018,"['50th', 'match']"
50,League,AB de Villiers,Bengaluru,RCB,SRH,Sunrisers Hyderabad,field,RCB,14.0,runs,218.0,2018,"['51st', 'match']"
51,League,Harshal Patel,Delhi,DC,CSK,Chennai Super Kings,field,Daredevils,34.0,runs,162.0,2018,"['52nd', 'match']"
52,League,Shreyas Gopal,Jaipur,RR,RCB,Rajasthan Royals,bat,RR,30.0,runs,164.0,2018,"['53rd', 'match']"
53,League,Chris Lynn,Hyderabad,SRH,KKR,Sunrisers Hyderabad,bat,KKR,5.0,wicket,172.0,2018,"['54th', 'match']"
54,League,Amit Mishra,Delhi,DC,MI,Delhi Daredevils,bat,Daredevils,11.0,runs,174.0,2018,"['55th', 'match']"
55,League,Lungi Ngidi,Pune,KXIP,CSK,Chennai Super Kings,field,CSK,5.0,wicket,153.0,2018,"['56th', 'match']"
56,Qualifier 1,Faf du Plessis,Wankhede,SRH,CSK,Chennai Super Kings,field,CSK,2.0,wicket,139.0,2018,Qualifier 1
57,Eliminator,Andre Russell,Eden Gardens,KKR,RR,Rajasthan Royals,field,KKR,25.0,runs,169.0,2018,Eliminator
58,Qualifier 2,Rashid Khan,Eden Gardens,SRH,KKR,Kolkata Knight Riders,field,SRH,14.0,runs,174.0,2018,Qualifier 2
59,Final,Shane Watson,Wankhede,SRH,CSK,Chennai Super Kings,field,CSK,8.0,wicket,178.0,2018,Final
0,League,Harbhajan Singh,Chennai,RCB,CSK,Chennai Super Kings,field,CSK,7.0,wicket,70.0,2019,"['1st', 'Match']"
