Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
League,Suresh Raina,Hyderabad,DCH,CSK,Deccan Chargers,bat,CSK,7,wicket,147,2008,"['54th', 'match']"
League,Dilhara Fernando,Bengaluru,RCB,MI,Mumbai Indians,field,MI,9,wicket,122,2008,"['55th', 'match']"
League,Shaun Marsh,Mohali,KXIP,RR,Rajasthan Royals,field,Kings,41,runs,221,2008,"['56th', 'match']"
Final,Shane Watson,Wankhede,RR,DC,Delhi Daredevils,field,RR,105,runs,192,2008,SemiFinal_1
Final,Makhaya Ntini,Wankhede,KXIP,CSK,Kings XI Punjab,bat,CSK,9,wicket,112,2008,SemiFinal_2
Final,Yusuf Pathan,DY Patil,CSK,RR,Rajasthan Royals,field,RR,3,wicket,163,2008,Final
League,Sachin Tendulkar,Cape Town,MI,CSK,Chennai Super Kings,field,MI,19,runs,165,2009,"['1st', 'match,']"
League,Rahul Dravid,Cape Town,RCB,RR,Royal Challengers Bangalore,bat,RCB,75,runs,133,2009,"['2nd', 'match']"
League,Daniel Vettori,Cape Town,KXIP,DC,Delhi Daredevils,field,Daredevils,10,wicket,104,2009,"['3rd', 'match,']"
League,RP Singh,Cape Town,KKR,DCH,Kolkata Knight Riders,bat,Chargers,8,wicket,101,2009,"['4th', 'match']"
League,Muthiah Muralidaran,Gqeberha,CSK,RCB,Chennai Super Kings,bat,CSK,92,runs,179,2009,"['5th', 'match']"
League,Chris Gayle,Durban,KXIP,KKR,Kolkata Knight Riders,field,KKR,11,runs,158,2009,"['6th', 'match,']"
League,Adam Gilchrist,Cape Town,DCH,RCB,Deccan Chargers,bat,Chargers,24,runs,184,2009,"['8th', 'match']"
League,AB de Villiers,Durban,DC,CSK,Delhi Daredevils,bat,Daredevils,9,runs,189,2009,"['9th', 'match,']"
League,Yusuf Pathan,Cape Town,RR,KKR,Kolkata Knight Riders,field,RR,0,runs,150,2009,"['10th', 'match']"
League,Ravi Bopara,Durban,RCB,KXIP,Royal Challengers Bangalore,bat,Kings,7,wicket,168,2009,"['11th', 'match']"
League,Pragyan Ojha,Durban,DCH,MI,Deccan Chargers,bat,RR,0,runs,150,2009,"['12th', 'match,']"
League,Tillakaratne Dilshan,Gqeberha,RCB,DC,Royal Challengers Bangalore,bat,Daredevils,6,wicket,149,2009,"['14th', 'match,']"
League,Kumar Sangakkara,Cape Town,KXIP,RR,Kings XI Punjab,bat,Kings,27,runs,139,2009,"['15th', 'match']"
League,Herschelle Gibbs,Durban,CSK,DCH,Deccan Chargers,field,Chargers,6,wicket,165,2009,"['16th', 'match,']"
League,Sachin Tendulkar,Gqeberha,MI,KKR,Mumbai Indians,bat,MI,92,runs,187,2009,"['17th', 'match']"
League,Yusuf Pathan,Centurion,DC,RR,Delhi Daredevils,bat,RR,5,wicket,143,2009,"['18th', 'match']"
League,Mark Boucher,Durban,KKR,RCB,Kolkata Knight Riders,bat,RCB,5,wicket,139,2009,"['19th', 'match,']"
League,Kumar Sangakkara,Durban,KXIP,MI,Kings XI Punjab,bat,Kings,3,runs,119,2009,"['20th', 'match']"
League,Dirk Nannes,Centurion,DCH,DC,Delhi Daredevils,field,Daredevils,6,wicket,148,2009,"['21st', 'match,']"
League,Suresh Raina,Centurion,CSK,RR,Rajasthan Royals,field,CSK,38,runs,164,2009,"['22nd', 'match']"
