Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,Ravichandran Ashwin, Chennai,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Field_First,Rajasthan Royals,3 Runs,Runs,176,17,2023
League,Mohit Sharma, Mohali,Punjab Kings,Gujarat Titans,Gujarat Titans,Field_First,Gujarat Titans,6 Wickets,Wickets,154,18,2023
League,Harry Brook, Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Sunrisers Hyderabad,23 Runs,Runs,229,19,2023
League,Virat Kohli, Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Field_First,Royal Challengers Bangalore,23 Runs,Runs,175,20,2023
League,Sikandar Raza, Lucknow,Lucknow Super Giants,Punjab Kings,Punjab Kings,Field_First,Punjab Kings,2 Wickets,Wickets,160,21,2023
League,Venkatesh Iyer, Wankhede,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field_First,Mumbai Indians,5 Wickets,Wickets,186,22,2023
League,Shimron Hetmyer, Ahmedabad,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Field_First,Rajasthan Royals,3 Wickets,Wickets,178,23,2023
League,Devon Conway, Bengaluru,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Chennai Super Kings,8 Runs,Runs,227,24,2023
League,Cameron Green, Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field_First,Mumbai Indians,14 Runs,Runs,193,25,2023
League,Marcus Stoinis, Jaipur,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Field_First,Lucknow Super Giants,10 Runs,Runs,155,26,2023
League,Mohammed Siraj, Mohali,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,Field_First,Royal Challengers Bangalore,24 Runs,Runs,175,27,2023
League,Ishant Sharma, Delhi,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field_First,Delhi Capitals,4 Wickets,Wickets,128,28,2023
League,Ravindra Jadeja, Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field_First,Chennai Super Kings,7 Wickets,Wickets,135,29,2023
League,Mohit Sharma, Lucknow,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Bat_First,Gujarat Titans,7 Runs,Runs,136,30,2023
League,Sam Curran, Wankhede,Punjab Kings,Mumbai Indians,Mumbai Indians,Field_First,Punjab Kings,13 Runs,Runs,215,31,2023
League,Glenn Maxwell, Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Field_First,Royal Challengers Bangalore,7 Runs,Runs,190,32,2023
League,Ajinkya Rahane, Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field_First,Chennai Super Kings,49 Runs,Runs,236,33,2023
League,Axar Patel, Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Bat_First,Delhi Capitals,7 Runs,Runs,145,34,2023
League,Abhinav Manohar, Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,Field_First,Gujarat Titans,55 Runs,Runs,208,35,2023
League,Varun Chakravarthy, Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field_First,Kolkata Knight Riders,21 Runs,Runs,201,36,2023
League,Yashasvi Jaiswal, Jaipur,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Bat_First,Rajasthan Royals,32 Runs,Runs,203,37,2023
League,Marcus Stoinis, Mohali,Lucknow Super Giants,Punjab Kings,Punjab Kings,Field_First,Lucknow Super Giants,56 Runs,Runs,258,38,2023
League,Josh Little, Eden Gardens,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,Field_First,Gujarat Titans,7 Wickets,Wickets,180,39,2023
League,Mitchell Marsh, Delhi,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bat_First,Sunrisers Hyderabad,9 Runs,Runs,198,40,2023
